item;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021
Raspberries;28460.0;20890.0;1496.0;1156.0;1530.0;1360.0;1360.0;170.0;153.0;119.0;74.8;980.0;180.0;310.0;130.0;40.0;580.0;350.0;1635631.0;2970747.0;2131519.0;3359873.0;5249339.0;5742628.0;151700.0;133200.0;165800.0;174000.0;5794401.0;0.0
Raw cane or beet sugar (centrifugal only);146850.0;150000.0;12420.0;13460.0;8637.0;11977.0;8021.0;31793.0;82744.0;35241.0;27273.0;154.7;91.8;95.2;17.0;6.8;176.8;108.8;270.0;4245.0;7041.0;41765.7;1048566.1;1109762.0;6044868.0;6664982.08;6272712.89;7309657.42;1141818.9;15656328.6
Rice;111221.0;47106.0;113000.0;109000.0;180000.0;200000.0;130000.0;140000.0;200000.0;165000.0;175000.0;33442.0;43923.0;28222.0;35479.0;40166.0;75610.0;13482.0;85.0;1292.0;1292.0;3400.0;3280758.9;2086675.1;1080886.3;986619.6;1038222.0;1098659.7;2377628.9;229.3
Rye;505360.0;496791.0;33425.0;39662.0;19867.0;20000.0;20000.0;22000.0;51200.0;60400.0;60000.0;200000.0;225400.0;230000.0;122000.0;250000.0;183000.0;190000.0;9167.0;59978.0;45235.0;172044.0;81746.8;153709.9;2547878.0;2548719.0;1916056.0;1428421.0;96635.8;3059885.4
Safflower seed;95100.0;110000.0;421542.0;290240.0;282892.9;279535.7;295030.6;334395.7;341754.1;349634.8;422529.8;40979.0;31506.0;40908.0;49812.0;62947.0;154576.0;231596.0;165000.0;193000.0;183300.0;200000.0;1500.0;865.0;283863.0;100885.0;25259.0;81188.9;53046.9;288488.1
Safflower-seed oil, crude;25547700.0;25467912.0;112500.0;110000.0;121000.0;125000.0;128000.0;150000.0;160000.0;175000.0;194500.0;392476.6;554235.6;686098.5;804536.0;650180.0;745990.0;943660.0;263701.0;288070.0;327321.0;337789.0;219792.5;193793.8;2805.0;0.0;0.0;98702.0;254800.0;1322.3
Sorghum;3109770.0;2765062.0;13945541.0;19071562.0;16165349.0;13878828.0;10796182.0;15225912.0;14050869.0;14552677.0;15658832.0;198500.0;207000.0;221000.0;227000.0;230400.0;180000.0;185000.0;1222371.2;1640965.51;1683123.49;1517152.3;198000.0;192000.0;312067.0;103550.0;49128.0;243600.0;740419.61;6.9
Sour cherries;827000.0;1028293.0;2553377.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;19355316.0;21809390.0;21275534.0;30672874.0;28836189.0;28995280.0;24892024.0;165000.0;184000.0;174000.0;188000.0;543290.0;559515.0;221500.0;186500.0;232200.0;741173.0;4307593.2;91051.9
Soya bean oil;7240.0;7630.0;849041.0;4199570.0;2762698.0;2828851.0;2992779.0;4149333.0;3918549.0;2682194.0;3688386.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;22255939.0;47643272.0;45056852.0;39321161.0;2363562.1;2708169.5;640486.72;674636.17;744383.08;4359956.0;218400.0;0.0
Soya beans;1600000.0;1580000.0;3960.0;737327.0;843960.0;750000.0;750000.0;823400.0;1312100.0;1184700.0;1117900.0;4886995.0;4810257.0;6469567.0;6743376.0;5671389.0;7350240.0;6454324.0;0.0;0.0;0.0;0.0;189000.0;182000.0;3142693.0;3621712.0;4026850.0;208800.0;33915085.9;1897178.1
Strawberries;0.0;0.0;1559050.0;4350.0;2380.0;1630.0;1480.0;1930.0;1520.0;1240.0;1290.0;1520862.0;1804087.0;2080986.0;2621159.0;2554850.0;2160599.0;2804966.0;5344821.0;9062022.0;7494657.0;9842355.6;33513368.5;39030505.4;182100.0;159900.0;199000.0;54350115.0;0.0;76057258.0
Sugar beet;11600.0;7700.0;0.0;1998330.0;1557650.0;1608309.0;1647769.0;1561747.0;1508968.0;1713847.0;1699724.0;870.0;1240.0;1260.0;1150.0;630.0;820.0;630.0;2552285.0;2545410.0;3608354.0;3327911.0;0.0;0.0;51324953.0;51913442.0;42065957.0;0.0;13314418.0;
Sugar cane;2020.0;3500.0;3400.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1704105.0;1661628.0;1854521.0;1926998.0;1791007.0;1938710.0;2170390.0;370.0;267.0;90.0;90.0;8475346.1;9280295.9;0.0;0.0;0.0;15379287.4;6024223.31;
Sunflower seed;433080.0;338230.0;1930.0;4300.0;4000.0;3000.0;2200.0;4100.0;7100.0;5400.0;2900.0;0.0;0.0;0.0;0.0;0.0;0.0;508000.0;2049640.0;2395399.0;2623823.0;2644220.0;4060132.0;3693483.0;11015109.0;10480958.0;12755725.0;5418427.0;342.0;
